review,rating
Excellent router. Easy setup. Wide coverage area!!! Using it for 2 years... no issues till date.,5.0
So staright into it.The WiFi range is good and enough fo 3bhk houses. However speed reduces a bit when there are walls. I would suggest to get a longer ethernet cable and keep the router in the middle of the house from where it can give good signal to all rooms even if there is a wall or door. The thickness of the wall also depends so take that into consideration.InstallationConnect the Ethernet cable into the blue/distinguished port and turn on the router. A green light will glow. Connect it to your device wireless/wired (username and passwor will be given at the back of the router  on a label. Take the username and password given down on the label for connecting the router). Open the web and type the URL 192.168.0.1 and type the username and password (admin and admin respectively by default). Select the type of network or click auto detect and you are ready to go!There is a speed limit for the router. Please check if you have speed greater than 300mbps.,4.0
"Right now I am using this product as a wifi extender. (3x5dbi for 300mbps)My base wifi router is on first floor, I placed this product at a place in ground floor where the base signal is comparatively good. Now the whole ground floor is covered with the same internet speed that is received at the place where I parked this product.Its signal can easily penetrate a thick wall. Atleast in my case there is a thick wall in between and my TV is 30 35 feets away from the extender, and it's working perfectly.Configuration is damn friendly, its easy and even non technical people can easily configure it as it is preloaded with good default options.All in all its value for money and it works.",5.0
I couldn't get even 3 full points out of 5 points of WiFi signal in the next room which is around 5 feet away. I couldn't believe then what does the 3 antennas are doing?. Very disappointed because having a very good internet connection but end up in buffering in YouTube streaming just because of the weak signal.,2.0
This product description tells that this router offers 300 Mbps of internet speed but this is a lie. I use 500 Mbps of internet speed plan but when I used this router I only receiving 10 Mbps of speed. I used LAN to cross-check and I received 400 Mbps of speed. I know why this happened because this router only has 3 metal receptors and my LAN cable has 10 wires. It is not at all possible to get more than 20 Mbps of speed using this router. I strongly recommend not going for this one because it is not good in anything just trash.,1.0
I have it configured as a range extender and it is in direct line of sight of the main router (also a TPLink). The distance between main router and this router is roughly 30 ft. Sometimes I get very good network in this room and sometimes it wont even show as available. Not exactly hassle free and definitely not for serious use like office calls too much call drops since I set this up in the network. A 7 year old Tenda bought for 600 bucks works better than this router. I would recomment the Tenda routers over TP Link any day.,1.0
"Premise: I live in a 2BHK. I use internet for daily YouTube streams, downloads (~ 5GB per day), Gaming and other usual apps. on 3 devices.The router is perfect for the daily use of internet.Key is the positioning router in the house. I've placed in almost middle of the house. With 3 antennas, signal strength is better (earlier it owned a 2 antenna router)If you are into daily online-gaming then the device would just be the right choice for you.Also, i found it a better (cost effective) replacement for a 2-antenna router.This is a great choice if you are looking for something within 2000 range.On aesthetic part, the device gives a better feel than usual black router.",4.0
"The product worked fine for 9 months and then suddenly in the middle of lockdown the Wifi signal started dropping every few min. I thought maybe something was wrong with my ISP so tried wired connection which worked fine and then tried another Mi router which worked absolutely fine as well. Did a factory reset on router, tried limiting to only one laptop and 2 phones, tried every trick mentioned on TP-Link website as well as every other forum but everything proved to be useless. Have written to tp-link support as router has 3 years warranty. Hoping for a replacement.",1.0
"The design is very nice, light weight, looks like a premium product too!Functionality wise, easy setup with ACT Broadband -- no more Login screen annoyance! Also Administration UI is cool although yet to explore it in depth.MAC Filtering function works like a charm. Last but not least, there is a nice Mobile App to do some quick work without using a browser.One gray area: how safe are these devices w.r.t potential backdoors? Many American products have it, why not Chinese? I'll do some work on this account.",5.0
It came in a sealed box ..so thankfully it was brand new..i have installed it and it has no issues at all..wifi signal is just the same..i beliv u can only find out the difference in open area..ive installed the router on the ground floor and i use the system on the first floor..becoz of the walls i see no difference in the signal strength i belive.. I guess if your facing such issues of low network in your house then better buy repeater..it will cost you the same but a better solution to ur home wifi network issue i guess...a 3 antenna or a 4 antenna will only work better with an enhanced signal strength if the area is open and there are not many walls..so i would suggest plzz consult a techie before taking a decision of buying a new router...My router started getting freezed so anyway i had to buy a new one..so now my wifi network is continous but signal strength is low on upper floors..i guess i have to buy a repeater now..,4.0
"Weak signal strength, does not cover enough range. Barely picks up signal 300mtrs away. Easy installation, very light. 2 additional antennas don't actually serve purpose coz no range in a 2bhk. I used Tenda(small one, almost the size of my palm) before, I'd actually suggest ppl to buy that but that model isn't available anymore.To anyone who lost their router functionality bcz of power surge during a storm, make sure to disconnect and unplug ur device. Power surge adapters barely do anything. I used them with my Tenda before. Don't waste ur money on these. Switch off, unplug. Simple.Update on 18/06/21Router disconnects internet connection very often. Not sure what's the cause. Successively, it denies login to my internet too.",2.0
"Using Since July 2018 - Pathetic Coverage in 3BHK apartment, signal drops drastically the moment you move away from 5 meters away from this device, however, in the same room where it is installed, I get 40 Mbps of speed.Looks like it is unable to negotiate the bends / curves of rooms corner.. 3 Signal Towers are just for show without any use. I am restricted to work in same room when I need to use internet...  Good for those who want to use it in same room or area where there are less obstructions or bends but not for homes. :-(",1.0
"So o bought this router an year ago from Amazon . The process of installation was very easy and setting it up from TP-Link UI was very easy as it is automatic and there is lot of information available .The signal strength is also really good and i could use internet from every corner of my small 2BHK flat without any kind of speed or wifi strength issue .Now , 1 year laterIt's an absolute mess and i can barely even send a whatsapp message from my bedroom . On running the speed test the download and upload speed barely reaches 1mb/s even though my speed is 100MB/s up and down .  On running the speed test in my study room the speed is 92mb/s but when i go to my bedroom i can barely send a whatsapp message. The speed is highly unstable for some reason and it is pretty annoying at this point and I'm considering switching to D-Link or Nethgear .",3.0
"TP-Link people not responding even after several mails. bought on 13th July 20, was not working from 06th Aug 20. Faulty product supplied. Amazon not helping as it crossed the 10 days return window. Already mailed Amazon the details, lets see what they can do. will again edit this review if Amazon solves my problem. Very bad customer service of Tp-Link. If you unluckily get a faulty product then forget getting any service from TP-Link. Very bad after sales service. Never buy TP-Link products.Review after 6 months. The router was exchanged with a new one by the local TP Link service center, the exchange took 20 days. The new router is working fine as of now.",3.0
Not so easy to setup. You must need to install their app then only its setup works well. There weblink to setup is useless. I have connected it with main 100 Mbps router through ethernet cable but range is almost same for both. There is very minor difference in range and signal strength. At certain distance where main router singnal become zero same for this also may be after 1 feet. It might be better if you keep little far from main router so that it can extend range further but who would like to hang open cables in home.Overall no extra benefit seems out of it.,3.0
"I read few reviews regarding this product and made the biggest mistake of buying this. Pathetic & Horrible Network connectivity. Frequent WIFI disruptions and very poor wifi range. No, My Network provider has no issues, as someone reading this might be suspecting. I have done the necessary testings from my end. So guys don't waste your valuable money. Just completely ignore this and search for other options. Flawness Network connectivity is what we look for and here is the opposite. No Customer or Technical support from TP Link too.",1.0
"I changed my router to new 3 antenna TP Link as the IT person said it was better and my existing router was way too outdatedTo my surprise, new 3 antenna TP Link router was hardly giving any signal. Since i was travelling i couldn't test the same during the return policy period ( my bad i didn't check when was last date)I am back to my old outdated router and works way well then new TP LinkI am left with brand new router which Amazaon cannot take due to return policy, however if they want they can check the packaging it is brand newWould recommend NO ONE TO BUY THIS PRODUCT and IF BUY THEN TRY IT ON DAY 1  AND IF YOU FIND ISSUES RETURN IT NEXT VERY DAY TO AMAZON",1.0
Though the speed of this router is better then my last router which was xiaomi 3c.. But the signal strength is just good.. If am moving to the sides of all my room the signal varies.. Only in front room it shows in full strength. But in my xiaomi router this was not the case.. Over all am happy what i got. Lets use it for a month then Il come with my final conclusion.,4.0
I needed a modem to connect to Jio 4G WiFi and provide a LAN based ethernet to my DVR. This modem was a perfect fit.It has a mode called Range extender. In this mode it was easy to connect this router to JioFi 4G wirelessly. Using a LAN cable CCTV DVR was connected to this modem.Now the DVR is accessible via internet through this modem and JioFi connection.,5.0
"The data transfer rate is exceptional. However, the connection time is a little slower. Rest everything about this router is excellent. The speed management MIMO works like a charm when using many devices. The range is not the best given that there are 3 antennas, but worth the price that you pay for it.",4.0
