review,rating
nice packaging and time to time delivery flipkart services...eveready is very good electrical product of led bulb..with very nice offer free of eveready cell..recomnded to buy...READ MORE,5.0
Excellent product in these aspects1-Energy Saving 2- Economical affordable3- Bright light💡4- Cool temperature5- Good for eyesightAnd many more. Overall I prefer to buy & try this product for once.READ MORE,5.0
I used eveready 10W led bulb for last 4-5 years till now the bulb are working. Bulb qualities are good from all sides bright pure white light. And Flipkart's delivery is goodREAD MORE,5.0
As these bulbs are of 10w and provide almost same compared to 9w. Offer on this is we get 4 batteries free worth around 40rs with purchase of 2 bulbs. Overall it's a good thing to buy.READ MORE,5.0
One of the best products and also best deals I got 9W 10 led bulbs just 899READ MORE,5.0
LED 10w bulb is giving very good brightness. Worth for money & good packing..👍👍READ MORE,5.0
"its BEE star rating is 2/5 as compared to philips 3/5 it clearly means it is less efficient product ( but cheaper 10 to 15 rs per unit).it is only 89 lumen / watt but falsely claiming as 100 lumen/watt (see the image). as far as reliability (long life) is concerned, I have to wait for month / year comment but it has definitly not manufactered with same level of quality control as phillips led.10 watt eveready brightness is same as 8.5 watt phillips. But i donot regret the purchase as it is c...READ MORE",2.0
I am using Eveready LED for last 5-6 year. This is exactly looking like my old 3 W LED bulb. Though the light out put is little better than my old 3W Eveready bulb. I don't think its real everready.READ MORE,1.0
"Good product, good luminance, good energy saving...It product have highest luminance than any other 10W led bulb...READ MORE",4.0
lighting is energitic blueWorks fine Excellent lighting good for outdoor Given batteries are bonus Delivery is on time thank u flipcartREAD MORE,5.0
"Amazing LED bulb, bought it for our village Temple's front premises. Totally satisfied with the luminous intensity delivery, it covers around 50 feet by 75 feet area very effectively.Overall a very nice product.READ MORE",5.0
"Product is really good, sufficient light for my room and provide  good amount of brightness.This Deal is really awesome i got this combo at Rs.127 only... happy with the product...READ MORE",5.0
"I got 10pices LED bulb 9w as shown in picture, The  brightness of the bulbs are very good, no more heat produced during use. eveready brand is the trusted brand. over all it's a good deal. thanks flipkart.READ MORE",5.0
"It's 2nd time I'm buying Eveready led bulbs.Im using the newly bought bulbs in the main hall of my home & workareas. I thoroughly love the quality of this product. It's much better than other brands like Bajaj, Syska.ThanksREAD MORE",4.0
This a very good LED bulb 10W 890Lumen but gives pretty good light output! Customers can buy it because it's a good product!Edit on 20/07/20 1 bulb stopped working. I opened the cover & find 1 smd LED chip got brown (fused) out of total 9 Smd LED chips. Didn't expected from Eveready.READ MORE,4.0
"Good value for money product and nicely packaged. The bulbs are really good for medium size rooms and for large size it will not be so bright, for those who likes easy on. EyesREAD MORE",5.0
lighting is energitic blueWorks fine Excellent lighting good for outdoor Given batteries are bonus Delivery is on time thank u flipcartREAD MORE,5.0
IT'S VERY VERY NICE PRODUCT FLIPKART IS EXCELLENT FAST ENOUGH TO DELIVER QUALITY PRODUCTSREAD MORE,5.0
"These lights give good amount of light at wash basin and small area. I think we can use these lights in Bathroom, it gives good amount of light. This give much better light than 10V CFL.I am happy with this product as of now. Need to check the durability.READ MORE",4.0
This is a not a good buy . bulb is heat instantly when i put in holder. bulb size is realy small but i am not satisfied with this product. price is fixed there is no discount. sabhi jgah ehi price haiREAD MORE,1.0
its look like LOCAL i think its LOCAL... and bright like 7-8v bulb not good... i think go for orient or philipsREAD MORE,1.0
Excellent LED bulbPros*It has 900 lumen it gives the brightest light than any Leds* I bought 6 items it was perfectly working for 5 months and hope it works in future too.* it is only 9 watt so it is very cheap and excellent it cost very less* it works and very less electricity if it is dim also it will work fine* it is far more better than bar LEDsCons* there is no disadvantages on using this light it is perfect for your any kind of room whether you choose in different wattsREAD MORE,5.0
Very nice packing fragile pack bulb good seller super comnet seller is good and eveready bulb also good thank you so much flipkart and seller giving me good packing of product i am satisfied with this productREAD MORE,4.0
"the quality of the both bulbs are bright, comfortable to eyegot it in 160 bbd sale ,so it's more than worth .+ there is additional 4p pencil batteries of 60 ruppesSO IT WAS A BEST DEALREAD MORE",5.0
Excellent product 👍 and thans to filikart service is very fast and super delevary brother language is very good thanks to filikart serviceREAD MORE,5.0
working well n good after 2 months... love it... very bright and power saving LEDs... good purchase... thanks flipkartREAD MORE,5.0
it is good but not very good after one month the led bulbs the bulbs will blinks very fast in some timeREAD MORE,4.0
Delivered one day before expected date.Its always beneficial to purchase LED bulb online because its cheap and getting AA batteries free is bonus. Overall very satisfied with the product and service as wellREAD MORE,5.0
"it's a good product, its bright and if the quality is enhanced to a better type of plastic then I would give it 5 star but i got it for 379 rupees.READ MORE",4.0
"Excellent product, good value for money. Go for it, The light emitted by the bulbs is good enough for bathroom, washbasin and Pooja room etc. 4 AAA cells are a bonus you will love.READ MORE",5.0
Awesome.As per 10 watt Led Light's Bright and Glow is perfectly all right. Great deal. thanks to flipkart.READ MORE,5.0
"led was good only for few days, I kept LED on for 8 hrs and it is already gone.READ MORE",2.0
very Good product for reasonable price and 2 shalls pack free given. we got this product in 130+30 shall. thank you Flipkart and everyday.READ MORE,5.0
"Nice led. Extra batteries was a good add on. Not as bright as Philips bulb, but it serves the purpose. Let's see how long it can last as all my previous led bulbs from Philips & ajanta were dead after a year.READ MORE",5.0
