review,rating
"Awesome one and fits well in hand.I have been using it for over an year now. It is one of the best products I have ever purchased from flipkart.Glossy look, Perfect for gaming and for working purpose.A must buy at such low price.DPI is great and it is pretty smooth.READ MORE",5.0
Great product from hpWorking properly from buying. Performance is good. Fit to hand. Worth buying. It was nearly 1 year old and it was working fine.READ MORE,5.0
I bought the little mouse about a year back from a conventional shop and have been using it every day since then. It is has been trouble free and extremely comfortable to use. I am a heavy user and believe that this is a reliable product and ideal for anyone looking for a small mouse.READ MORE,5.0
"This mouse is super easy to use, has a long wire and a very handy size, it's been more than a week since my purchase, and yeah really happy and satisfied!READ MORE",5.0
Awesome product😍😍 smooth and soft to handle.... Worth of cost... Highly recommended... Thank you flippy 😘😘😘READ MORE,5.0
"It might seem a little small at first, but feels really comfortable in your palm later. The material is really good and not at all very fragile. However I suggest that people with really big palms shouldn't go for this. Overall great purchase!READ MORE",5.0
"A god mice with  a good price.Its easy to install and use.The mouse is medium sized, smooth to move around and is the perfect mouse.Also the buttons of the mouse is soft to touch.It will be a good choice to select such mouse.READ MORE",5.0
"i am writing this review after 5 month of hevy usage . i wanted to test this mouse full potential so that i can give a perfect over view about this mousePros-◆Good and perfect dpi of 1600 which is comfortable to use and have good speed traking some of the gamers like to use a dpi 1600.this is good mouse for normal use i dont recommend for gaming because may be the dpi is too high for most gamers.the repot rate is fare speed for normal casual uses like,video editing,photo editing,browsing,e...READ MORE",5.0
"Review after 6 months , work like a charm .Review after 1 year , Still working like a charmREAD MORE",5.0
"could've used invisible light, like so many other mice do now a days. it's accurate, a little too sensitive, as in, it'll work even if you're not completely touching the surface on which you've kept the mouse. so lifting the mouse a little to place it in a new place during gaming is a little tricky. build quality is good, scroll wheel is soft and has a nice click, size is comfortable.reducing stars because of low quality, fragile, thin wire.READ MORE",3.0
"It's Been Like 6 Months , The Response Is Accurate , Pairs Easily With Laptop And Smart TVs , The Hand Grip Is Also Good For People Who Are Used To Normal Sized Mouse ( Not So Small In Size, Perfect For A Adult Hand) , I Have No Complaints With The ProductsREAD MORE",5.0
Nice product well good work as well as chiefs rateREAD MORE,4.0
This Mose is very fast working and best for gaming good bornig like this itemsREAD MORE,4.0
"I’m using HP X1000 Wired Mouse been 2 weeks. It’s work perfectly with Windows 7,8,8.1,10, Ubuntu as well as Mac OS Sierra. Actually, they didn’t mention that it compatible with Mac OS or not. But it works perfectly with Mac OS Sierra. There is no such an issue in 2 weeks. I really appreciate HP for this budget USB mouse. It’s around 300/- I thought I will fake product or first copy or something but not it’s original product from HP. It works great and if you want a mouse in these budget then ...READ MORE",5.0
Its pretty good ..and its wire is not too short it run smoothly ..95% satisfy from this product so thanq Flipkart !READ MORE,5.0
I don't know why did people give less than 5 star to this mouse. This is perfect for casual use. Beautiful look and build quality is also awesome. I liked it a lot specially in this price range. And also delivery was awesome.READ MORE,5.0
"It is small USB mouse , not the standard sized one. Good for entertainment purpose but for continuous usage don't go for this. Palm will not fit over the mouse. But it's perfect for laptop usage and all those stuffs. Not recommend for desktop at all.READ MORE",1.0
Very good mouse. Totally worth it. It is large enough to operate also it has a good design.READ MORE,4.0
No use if buy this from flipkart only because the details are not shown here.The actual price shown for this is 298 and it its MRP is 299...So there is no need to buy this from online.And the size is very small only 3 inches. It's not shown here.... But still it works good with my HP Notebook with windows7.So if anyone going to buy this product you may go for better products with good offers...READ MORE,1.0
Good quality ... Delivered on time .... Handy and workable product.. worth to moneyREAD MORE,4.0
Besttttt of price worth I will recommend this product and packaging was also good and writing this review after I guess 2 or 3 months of use its totally awesomeREAD MORE,5.0
"The mouse is compact and seems to be genuine HP product. While ordering it was thought to be a standard full size mouse, but it was realized to be of compact size when the product was received. The mouse simply works plug-n-play in both Windows 10 and Ubuntu Linux through its USB Type-A port. No issue was observed in the last few days. I am happy with the product. The mouse also looks good.READ MORE",5.0
The product is worthy of appreciation. The mouse has been furnished with Crystal like glossy outlook with a boundaried design of light black mat-finish. This eye catching spectacular mouse is the one of the finest products I have bought from Flipkart.READ MORE,5.0
Product is great it's working just fine.The problem is that doesn't fits in my hand it's quiet small as compared to other mouse it's really small.Great for very small hands not good for large and medium sized hands.It hurts when working long with this but it works perfect it's just uncomfortable.READ MORE,4.0
"This review is after 2 weeks of usage.Good mouse, slightly heavier than expected, with great build quality.The left and right buttons are clicky and tactile, with smooth motion across the screen. The scroll button is tactile and has a nice feel.Overall, great product, and highly satisfied. Also, kudos to Flipkart for delivering in less than 24 hours.READ MORE",5.0
"This is mini mouse.  This  is suitable for windows 7,8 ,10  .  It is smooth &  working properly.  I am happy  to purchase this product.  Thank you both flipkart & hp  .  Good product from hp .READ MORE",5.0
Fine It's work very fast and smoothlyREAD MORE,5.0
Size of wire and functioning is good and the price tag also justified so i am satisfied as of now but get to you back after some time of usage whether its reliability and lifetime is good or not.READ MORE,4.0
Good product.1. Perfect fit in hand2. Smooth center key3. Compatible with my device HP Notebook 15-ac040tuLoved it!READ MORE,5.0
Its good and smooth. But it is small compared to other mouses. it is good for laptops. if you are buying for normal use i will recommend this. if you are a editor or gamer i don't recommend thisREAD MORE,4.0
working very smoothly I would like to thank Flipkart fir such wonderful services thanksREAD MORE,5.0
Best Product. Very comfortable to use. Delivery is super fast 👌👌👌READ MORE,5.0
Package delivery was very fast then I expected mouse quality is pretty much very good and it's under 500 rs so it's a best choice to buy itREAD MORE,5.0
A good budget mouse....it is too small and the response is not tall that good but...if you guys dont care about these...go for it( Gamers beware!!....You guys can get much better mouses...si dont care about the price and skip this one)READ MORE,3.0
No need to comment about quality and sharp movements of the cursor coz Hp is Hp! But quite small in size. Ideal for ones eyeing a portable chotu mouseREAD MORE,4.0
"Received today. Excellent product. Though quite small in size, it works well. The Ekart Wish Master most promptly delivered the item to me.READ MORE",5.0
nice mouse . cool look and worked wellREAD MORE,5.0
