review,rating
"Hii, got this product as shown.Nice sound quality, with balanced mid and lows along with balanced set equaliser.160 watt model is wireless, thats really good. Range of conection is good between bar and subwoofer.READ MORE",5.0
"Best Sound!Bass is best.(I have boAt rocrz 400 headphone which is best and love it!)Audio clarity may have been a little bit better but good.I have Mi TV 4a pro 32 inch TV and connected the sound bar with HDMI Arc and working best.Many of you reviewed HDMI Arc not working. I also faced that problem. Here is the solution.1. Connect HDMI through Arc port on your TV.2. Remove the Aux Cable, if you connected.3. Go to tv settings, input, select HDMI 1 as input source and on all the othe...READ MORE",4.0
"Awesome Product. Loved the sound quality and design. Convert your hall into home theatre. Bass Bass Bass. Very reasonable price. I’m sure you will enjoy every paise of your hard earned money. Thank you flipkart, seller, and manufacturer for this lovely product. Only bad experience I had was with Jeevis technician who did not know how to drill properly but that’s fine. Overall good quality product!!! Again Bass Bass Bass!!!READ MORE",5.0
"boAt AAVANTEE BAR1550.120w sound bar from flipkart delivered yesterday and install today by Jeeves... sound is good bass is high,who loves more bass go for it.you may reduce the bass level. design and look is pretty good. at this price range this satisfy you,but if you compare with high value sony bar so you may be disappointed. sound and volume is high. If you want a mid range sound bar with good quality go for it.  The installation boy is really good in behaviour.it may depends on location....READ MORE",4.0
Excellent sound quality. No distortion on maximam volume. I never expected this quality. I'm just surprised. Bass is excellent. You will be 100% happy with this.N.B. Ontime Delivery by flipkart  and also proper FREE installation by authorized expert.**YOU HAVE TO USE FREE DEMO AND INSTALLATION SERVICE TO ACTIVE WARRANTY POLICY.READ MORE,5.0
"Ground shaking BASS....Never Before...Ever AfterThis sound bar comes with wireless 160w subwoofer, you can place it anywhere. All connectivity ports like optical, hdmi arc, aux, usb port availble its really awesome sound quality  u can feel cinematic theatre bass effect.looking premium finish, compare to sony SA- D40 4.1 this soundbar more better. am sure deafnately you satisfy with this punchy bass and sound. trebles also good, overall am happy with this product,  go for it undoubtedly.BU...READ MORE",5.0
"excellent, Cristal clear sound bass very good surround sound is good , connect  your smart tv berry good theater feelings , total value for money tanku Flipcart tanku seealler.READ MORE",5.0
the bass is really good and sound is also very good. premium quality speakers. feels like surround soundonly the grill fender was bit of sound bar. not proper handling. very good to connect with smart tvREAD MORE,5.0
"Though the product is OK but Remote is very poor in qualityMostly it malfunctioning .Boat should improve it's quality.My remote is not working properly I have contacted Flipkart, jeev and they r not responding properly.Boat people you have to work on your product quality and aftersale to make your brand a leading one. You cannot be SONY OvernightREAD MORE",1.0
Excellent product from boat. Was in search of right soundbar for almost 15 days. Finally bought boat 2000 160 watts for good reviews in the market which didn't disappoint me. Those who are looking for a good music can blindly go for it.  Dth also works fine . Movies sound clarity is awesome like theatre effect. Can challenge 5.1 theatre effect. Am already  user of JBL home theater but its equally competitive with that. Timely delivered from flipkart and ontime installation and demo from the e...READ MORE,5.0
