review,rating
"Drill bits are good and can get through anything with balanced amount of pressure. The only problem is with the screw bits, used it only a single time and it's really blunt now doesn't work anymore.",4.0
"Bought this 3 months agoDissapointed for below reason.- Screw bits are not of good quality, it is better to buy a star bit from a hardware store- Wrench and Plas are smaller can not be used with larger items. Wrentch had been really useless with Taps that I have tried on so far. Both of them also needs to be bought separately.Would suggest to buy only drill machine if you can get drill box from somehwere else. Drill without box will cost 1k less and all items of the box can be bought separately in the same price that too of better quality.",4.0
"my first purchase from amazon, so i was a bit skeptical about the delivery .but i found it very authentic when the package arrived in original sealed condition and that so at the purposed delivery date . thanks to amazon ,the dispatcher and the delivery team for fast and speedy job done.THE PRODUCT:1. the drill itself is an authentic bosch product. 0.5mm to 10 mm adjustable chuck size.a proprietary holder is also given. note the chuck adjust tool is placed in power  cord.(i was horrified at the time of unboxing of not finding it anywhere😜)2. there is drill bits for wood(4,5,6), masonry(4,5,6,8,10) and metal (2,3,4,5,6)3.screw bits 10 pieces (PH1,PH2,PZ1,PZ2,S4,S6,H4,H5,T20,T25)4.bolt holders 7 pieces (4,5,6,7,8,9,10) with a holder bit.5. hand tools likeHammer,adjustable wrench, pliers, measuring tape (3m),utility knife and spirit level one each has been provided.6. screws and plugs (30 each)(10 each of 3.5mm, 4mm and 5mm screws)(10 each of 5mm,6mm and 8mm plugs)As of now im just using it in home and Small DIY projects.",4.0
"First off, considering the price and the brand, this is a good assortment of very handy tools.A few points I felt could have been thought of from customer's perspective, if the goal was to provide a compact solution to indoor handyman tool requirements:1. The wrench is good build but not big enough to even unwind the nuts and bolts used in bathroom hardware. At least that size should have been provided.2. The measuring tape does not seem very sturdy and also there is only one scale ( centimetres ) , NO inches. Selling that on Indian markets is just wrong :-D3. Utility knife is not very sharp at all.Apart from this, the drill is crazy smooth for 500w power.Enough variations of drill bits.The plier grip is good.All in all, definitely a good buy for beginners and intermediate handy man enthusiasts and semi professionals.",4.0
"I had ordered the toolkit on 7th of February and I had received on 10th of February, From the day I had received I started using the product for basic home purposes and as of today 21st February, I had opened the toolkit that time i saw the combination plier had rusted and screw bit and box spanners had rusted only I am satisfied with the dirller, thats why only 2 I gave 2 stars, My belief on Bosch is now lost",2.0
I was shocked when i recieved the product with worst packing it was packed with only bubble cover and i open it i found that seal is broken and items are so hard to use..may be because of new items but no items are missing,3.0
"This tool is exactly like it is described. Good for home and moderately professional use. Though accompanied free items are not branded. Have no BOSCH mark on them. Only drill machine is BOSCH branded. I am not cutting a star because of this, for the sole reason of delivery speed. It did delivered the next day. Wait... I dont live in any of the mega city but in a village about 400 kms from Mumbai from where the item is shipped. Amazing amazon!!",5.0
"Have to return it, the machine is not able to drill on concrete wall for 3mm even. May be brick walls could be done but RCC structure walls are not.I read few reviews later that it could be because of low quality masonry bits which came with boxThough it was easy to use and compact but did not fulfill the purpose of buying",3.0
"I am dispointed with this product. The machine fitting is not good. I have recived this product two times, both the time the machine fitting is not good. I didn't expect this from global brand bosch. All tools are local and low quality products. Warst experience from top company bosch.",2.0
The bundle contains many tools but only drilling unit is from Bosch which having less warranty too compared to genuine Bosch products. All other tools are seems very low quality like some refurbished or kind of footpath selling goodseven bits also not higher quality,2.0
ONLY MACHINE IS GOOD. OTHER MATERIAL LIKE BITS. FROM BITS I TRY TO DRILL THE WALL BUT ITS NOT DONE. I PURCHASED A NEW BIT FROM THE MARKET AFTER THAT I WAS ABLE TO DO IT...,1.0
"The machine stopped working in just few days(three weeks, used twice). Customer care works only during day time, five days a week. We have to go 12km to a authorised service centre to get it repaired. Not very satisfied with this experience. They must keep a long manual screw driver which is an essential component of any kit. It's not in this kit",3.0
It was a genuine product and I am glad I ordered it. It really saves a lot of money you might spend on Carpenters for simple installation or putting a hole in the wall or even for that matter fixing something very simple at home. I have been using this from the first day and am loving the quality of the product.,5.0
"Has all the parts that are needed. Has a drilling machine with tips for steel, wood and masonry(brick). Has drew driver and hex spanner bits as well.Other parts are hammer, wrench, bubble level, cutter.I couldn't drill through hard concrete, but normal brick wall(which is the usual case) was very easy to drill into.Switch to hammer mode while using the masonry bit.Easy to setup and use.",5.0
"I would have given a 5 star rating to this product if there had been detailed instructions on how to use the drill. There are screw driver heads but no instructions on how to use them. Referring me to a booklet on the internet may be of no use to me if I do not have an internet or am not very conversant with downloading etc. I may not have a printer at home. What prevents Bosch, a reputed Company , from placing an instruction booklet in the case ?And I must say the Amazon call centres were also not particularly helpful in assisting me !",4.0
Very bad from Bosch while hammer mod the bit is come loose all time it's no stay  tight and scratched product came and the rotational sounds feels rusted bearing like too bad experience from Amazon very bad,1.0
"After reading various reviews I had doubt in mind, if investing 3K is worth. After the product reached me this morning, I put it to use on concrete wall, my test. It was easy to use, definitely after going through some instructions, as I am a beginner. Ithas definitely rock solid sturdiness, no dithering sturDy movement.I will recommend this product.",4.0
