review,rating
I am spellbound after seeing this.What a value of money ... love you MI 🎊😍😘 ...and also the package delivery service and packing was quite good .READ MORE,5.0
Awesome mobile. I've purchased it for my Mom🥰... She is very happy with this SURPRISE... Guys don't take any Option and make it as a Selection... Wonderful Mobile 🤩READ MORE,5.0
"Very good phone...nice display and  long battery life ,, good camera, 4gb Ram, large storage... decent price... highly recommendREAD MORE",5.0
super budget mobile i like type c port 5000mah big battery4gb 64gb excellent storage device superREAD MORE,4.0
"it was a very smoothly phone works and also it has a light weight,thin that you are very easily use for the daily life.important thing is that Sapparine blue colour just love it...whenever you'll see it...thank you very much flipkart for only in maximum 30 hours fast delivery...i think my opinion is redmi 8 value for money phone📱 ❤READ MORE",5.0
"Awesom product. From my point of view, redmi 8 is the only must buy mobile phone for moderate budget people. The battery, display, and ram & rom performs well. The speaker has huge & crystal clear voice, and the look is so hot & attractive that this phone dominates in front of other high budget phones.As such all color varients are better, but I own the Emerald green varient which is the best, awesome & appreciated & praised by all, whoever see it.READ MORE",5.0
Redmi 7 In Good Phone in Good processor in Good 64Gb In Good 4G RamREAD MORE,5.0
"Nice phone, Good battery life, amazing design... camera should have been better... not really satisfied with the camera quality 😞READ MORE",4.0
Stunning look 5camera good 4Battery powerful performance 5Android pie 5Display awesome 5 Value for money 5READ MORE,5.0
Wow great phone camera is super and battery is very good I am so happy this phoneREAD MORE,5.0
"HONEST REVIEW FROM A HONEST BUYER !I know there are lot of pros but one major con is making everything in this phone bad .i.e the processor. The phone is very slow--the fingerprint sensor, the application handling, the typing in keyboard. So overall if you are looking for a secondary phone only for calls then you can go for it otherwise in this range go for Asus who also has the same configuration in terms of battery and RAM but with a far fast processor .Black colour model is a big turno...READ MORE",2.0
Nothing Good About this phone other than the cost...it's heavy .. the display is dull.... the rear camera is as good as a 8 megapixel... Selfies are auto beautified so the face looks digitally enhanced.... performance wise to there is a lot of lag... it took me approx 40 secs to load up the Google page...All in all this phone is like a all in one tool kit with half the tools missing / rusty...READ MORE,1.0
I'm happy to this mobile phone bettry is good value of money best is the best thank you FlipkartREAD MORE,5.0
"good phone and battery ,camera good ... processor is good but according to money not goodand display  is also good but according to money it is not good. all over a good phone.READ MORE",5.0
very impressive mobile . look like is very awesome.. design is very good. I like it blur quality is good .READ MORE,5.0
well it's good for simple work and capture good pics. internet speed is not good compare to others.READ MORE,4.0
this mobile is superb everything things is great battery backup camera display all is osm and it's design is very impressive I like this mobile very much in this budget is mobile is superb you should go for itREAD MORE,5.0
"Pros : * Big Battery * Fast Charging * Great Value for Money  *Impressive Aura mirror design.                                                       Cons: * Decent Camera *Weak Processor                                     Finally I would Conclude that if you want to play high graphics games and take good photographs this is not good choice,  But if want a big battery with a beautiful design supported with fast charging also equipped  with fingerprint scanner in this price range ,then its a go...READ MORE",4.0
redmi 8 is best mobile best mobile battery is better camera is best performance is great and display in the fabulous and designed is superduper hit and price 1000 high firfi koi bat nahi thank you flipkard card##(special thank you filpkard)##READ MORE,4.0
