review,rating
Mi band 4 really satisfied; It’s Amoled colouring display looks like bold and it’s give a superb look in your wrist. Heart rate monitor little disappointed; otherwise everything is good in this band. This band is really unique and it’s non comparable to others band. Fully satisfied by 😊Sumita Gayen😊READ MORE,5.0
Very nice band.I am very glad having this wonderful mi band which is very useful for me.I am using it since 5 days and there is no problem.READ MORE,5.0
"It's been 20 days using this Mi band 4 and all i can say is this band is worth the money. Its battery is 28% remaining after 20 days of use and will surely last for atleast a week more. Everything in this band is adorable. Its colorful amoled display looks gorgeous. Its strap quality is also so good, it didn't cause any skin irritation even after wearing it everytime, hope it's strap will last atleast a year. The band actually looks so ravishing in wrist. The Mi fit app is great. For a studen...READ MORE",5.0
I am happy with this product... I am reviewing it after using for  1 week .... Battery life is good... It consume around 5 percent battery in a day... I like its notification feature.. U can read ur messages in band itself... U can make ur own wallpaper... Heart sensor works great.... Only drawback as of now... It can only tell sleeping pattern at night... So if u are sleeping at day time it will not keep record of thatREAD MORE,5.0
"10/10 The Mi band 4 is better than I imagined. As my first smart ""watch"" device I can surely say I am not living without one any more. It helps you a lot by giving some important feedback that one would assume is not possible to do so with such a small equipment. For example, the sleep analysis available is mind blowing. The band with its app showed that I was sleeping badly, even though I slept enough hours a day (around 8). I've begin to change some of my routines activities to help fix it,...READ MORE",5.0
I am very happy after using this Mi Band 4..... This band is just awesome and I liked every feature in this watch...the best thing in the watch is that it has unlimited watch faces and you can also set custom watch face that will be chosen by you..READ MORE,5.0
Finally it’s a nice band I using in this time battery is superb n works nicely I think m not investe my money to rong product best qualityREAD MORE,5.0
"Good product, nice performance, good battery, i love itREAD MORE",5.0
Long batrry life very good features and string grip ...cool watch it's better than honor band 5 and real me bana.....go with mi band 4Amazing band ....tracking very goodREAD MORE,5.0
The most greatest thing I have ever buyed is this.This is the super watch as well as band. The watch is also waterproof and beautiful.READ MORE,5.0
The most greatest thing I have ever buyed is this.This is the super watch as well as band. The watch is also waterproof and beautiful.READ MORE,5.0
Veryyy nice band the sleep monitoring is very accurate i liked it very much. There are uncountable number of watch faces available which makes it look more beautifulREAD MORE,5.0
"Good product,  value for money Screen display is very much sharp include touch sensitivity, Battery Back up is Great  as practically needs to charge once in 15 days , This is the biggest + Points as per my Usage Exp Xiaomi - well crafted design for indiaREAD MORE",5.0
Awesome product best value and best watch book now and best featuresREAD MORE,5.0
Love this product.. Must buy this if u r searching for a smart band.. Buy this without any hesitate and has superb battery lifeREAD MORE,5.0
very nice smart band overall very good performance very goodREAD MORE,5.0
Its nice and looks rich on hands. Screen is very good. Overall its nice to buy.READ MORE,1.0
"Almost same features like old ones, but for colour the prize is high. We can put out own photos in the display, that is the only plus point. Battery comes around 15 days, still it's goodREAD MORE",4.0
Wow superb quality and service packages is so nice thanks for FLIPKART and very very fast delivery am so happyREAD MORE,5.0
Amazing product just go for it blindly. Thank you flipkart so so much. Best band ever. It was also packed so nicely rhat I don't have words for itREAD MORE,5.0
"It's really a good product at this price range. We get all the features like stopwatch,timer, alarm, footsteps, calories burned, different activities,etc. We can also create our own custom watch face like the one in mine. Comparatively this gives more discount than the market price. Thank u flipkart for this 😍😍🥰.READ MORE",5.0
Very good band.Touch response is also good. Best band available in market right nowREAD MORE,4.0
I am happy with it for it's more than 20 days battery life and all other features it provides..Go for it if you want budget friendly smart watch...READ MORE,5.0
A very nice product this is the thing that i have been looking for its for me its better than every bandHoping mi band 5 will be awesome i suggest you this is worth buying!!! 😎😎😎READ MORE,5.0
This is my 2nd mi smart band from mi. Earlier i was using mi band 2 that had very good battery life. But that thing died within a year. Also the quality of that band was not that good. Also if u buy the bands separately they are very expensive / are not that good quality. Now i am using this mi smart band 4 after my mi band 2 died. I charged its battery but that didn't came back to life. So i had to purchase this one. Battery of this is also very good. Heart rate sensor & pedometer not very a...READ MORE,4.0
Very good product I think everyone like this.VeryGood battery backupVery good skin touchOperating system is very goodSpecial thanks to Flipkart for presentation a very nice smart watch.READ MORE,5.0
1.Battery capacity good 🔥🔥🔥2. unlimited watch faces..🥰.3.looking stylish 😎4. ❤️ Heart rate monitor not accurate5. steps also not accurate counting😣6. Music control option nice7. notification all call message shown nicely 🥰READ MORE,4.0
Go for it. ✔ Very good battery backup. ✔ Accurate step counter. ✔ UI of the band and Mi fit app both are user friendly. ✔ Accurate heart rate monitoring✔ Multiple number of workout modes which can be set as per users convenience.READ MORE,5.0
Good product very nice and charging super and good 21 days Battery life good and awsomeREAD MORE,5.0
Perfect as always ❤️.... Flipkart never Fails in giving their best of service to us... thank you Flipkart...and the delivery person was also very polite and prompt.READ MORE,5.0
"I'm very happy with this band. Flipkart provide me very fast delivery, I've received my parcel exact next day of order placed. Thank you flipkart.READ MORE",5.0
Superb product form MI again. I was using the MI Band 2 then 3 and now 4.. all of them came with very good improvements. Great quality and very good price.READ MORE,5.0
"Great product. Awesome look . I'm really like it. Functions are so cool. The battery backup it's too good. I'm continuously using it for 2 days after a full charge, till now it has 92% battery. Just mind-blowing. And also quick delivery, good packaging by Flipkart. Thanks Flipkart.🥰🥰READ MORE",5.0
It's a nice product . Best for buying in 2020 now I have been using it for 3 months . It's a great useful product for people are planing to loose weight .READ MORE,5.0
very good on time delivery super good Flipkart.. Kept it up the good workREAD MORE,5.0
Best band ever it's battery is awesome. If you are searching for smart band then buy mi band 4.I was confused which to buy mi band 4 or Honor band 5.But Mi band is worth every penny.READ MORE,5.0
Battery backup is very good and other activities are pretty good and it looks very stylish . I am satisfied with my it 😊READ MORE,4.0
This is a very good band for pepole who are looking for a smart band with great quality. But the heart rate is not accurate and it depends on our wearing but for me its ok. And the battery lige us super awesome i charged two times in 2 months and the batterey was not completed in one month also after one nonth the battery was 25% its super awesome and it has the feauters like a Smart Watch It can show the Weather Reminders Messages So I Think You Should Take Its A Quality product from MIREAD MORE,5.0
Best product.  I loved it.READ MORE,4.0
So sweet 😍 of toREAD MORE,5.0
Truly amazing thanks Flipkart for delivering before time and 100% original and I recommend people to go for it.READ MORE,5.0
