review,rating
"I am giving this review after 2wk of using this phone, Battery backup is super all over fully worth of singel penny.  I am a student and I addicted by social network site and online gaming but at that time I meet with a Physicist and he told me for use this phone and and never use smart phone aprox 3mnth,  believe me now I am spend much more time for my study purpose and and I feel more batter than my previous days. Thank You Flipkart Thank. you SamsungREAD MORE",5.0
"This is My 2nd Phone as I use my iPhone for emails & other stuff, but if you are looking for best quality, rough Handling, strong battery life & Light weight phone this is the phone for you.Very nice phone with bright display & nice basic key padThank you SamsungREAD MORE",5.0
"This is the best phone for calls and messages stuff. The phone looks premium for the price. To get your mind free from outside world and if you wish to talk to long lost friends buy this phone. Trust me, you will be more social if you have this phone. Your unwanted browsing time and unwanted app searches will be considerably reduced and you will spend more time for the essential things. You can always play sudoku, much better mind game than candy crush and clash of clans and pubg. You can a...READ MORE",5.0
I HAve a micromax funbook pro which not have sim slot for this i bought this product and it is nice and fast battry backup is superb 3 days easily and u should buy it........................................................................................READ MORE,5.0
"Pros : Robust, Very long battery backup, Cheapest out there. Torch light.Cons: No. If you want a phone just for calling and texting, this is the one for you. You throw it battery pops out but that's it you put in the battery and it's like a new phone. I have been using this for 1 year now and this phone has worked like a charm. It's indeed Guru of all the phones in its range.READ MORE",5.0
This Phone is best for Everyone.The price is right and appropriate which accomodate at everyone's Choice for value of Money.And the phone colour also liked by everyone.READ MORE,5.0
"Awesome purchase! small,handy ,durable ,economical and above all it takes me to old memory lane.During my childhood when we used these phones with great charm. Although these tiny sets are replaced by modern Android one,but I truly believe that Old is gold.READ MORE",5.0
"nice phone for defence personal, because there is no camera, no memory card, no FM radio, no Bluetooth. light wait, small size with clear display and good speakerREAD MORE",5.0
Good as Possible as the company can.👍👍😊😊 Its value for money.. must buy if your budget is low.. and need a good portable mobile phone.. 👍😌READ MORE,5.0
"Using since 20 days..Pros.1. Excellent Battery backup. Lasting for a week.2. Small in size. Can carry easily with my 5.5 inch smartphone in same pocket.3. Loud sound.4. Take less time to fully charged.5. Suitable for calls and basic uses.Cons.1. No USB port to charge. Need to carry extra charger while travelling.There are some others cons it has like only one  game(Sudoku), few wallpapers, few ringtones, but this can be negligible as full focused has been given in long lasting Bat...READ MORE",5.0
"Perfect one for my very basic requirements. A quality product. Excellent Battery. Clear sound, Speaker, Torch, Small and Light weight, Big fonts, are the pros.No cons yet.I had got a defective one (torch was not working) and Flipkart replaced that quickly. Excellent service from Flipkart. Would recommend if the requirement is VERY basic as it does not have features such as radio, camera, music player which might be basic for some.READ MORE",5.0
Awesome ....mobile very good looking so nice and smart.. Thank you FlipkartREAD MORE,5.0
Ordered for father as he is not much versed with smart phones and he just loved it. ..I m very happy with it's performanceREAD MORE,5.0
Samsung is well known for its Guru 1200.Its nice mobile with best battery backup.Really Awesome GuysGo for it..thnkx Flipkart😊READ MORE,5.0
