review,rating
very important tool thank you flipkart nice product and working good build quality magnetic very strong and fit good set and packaging but very small but i am happy🤗🤗🤗🤗READ MORE,5.0
this product was amazing and quality are amazing but when I receive this product n when i open this I saw in the box one missing part of this productFLIPKART PLS CHECK THE YOUR PRODUCTS BEFORE THE DELIVERY PRODUCT QUALITY GOOD PERFECT 👌PACKAGE N PACKING VERY GOOD 🙏👍👌READ MORE,3.0
The Product is awesome at this very price range. It will be worth if you buy this. The only reason I gave it 4 🌟 is that I think it can improve its build quality means if you use it then you may notice some fine iron particles over its tip. 👍READ MORE,4.0
Product is nice but not prefect.....for the professionals....... Good Things-#low cost#easy to handle#approximately all sets are available to use... Bad Things-#material quality is very low#not highly precise#not fine finished having sharp edge#length of driver is too short....READ MORE,3.0
All type of tools are available with good shape. Simple & Nice with low cost. Good OneREAD MORE,4.0
Decent quality at the price point. Pretty useful for enthusiast not for professional use.READ MORE,4.0
Who can say we're not satistified ofcorse im satisfied with the product... It's an average product can say its a good one but feels really good to have the item around...READ MORE,3.0
Strong and robust tools. Good fast delivery from flipkart. Very easy to use. We will get the exact product as in the imagesREAD MORE,5.0
small insize good to use fold and unfold like small thing like watch and toy... not for heavy dutyREAD MORE,3.0
Very Nice And Very Good Product Jackly Square Precision 32Pc. and very Good Delivery Thanks For Flipkart Thank You Very Much And Very Good Product For Flipkat.READ MORE,5.0
really very good product.. this product is available in two models JK 6032-A and Jk 6032 B.. i get 6032 A model which have no extension bar... better if u buy model B.... overall it is very good product and nice packaging... thanks to flipkart to give me  cheap and good products...READ MORE,5.0
looking like a nice product but the extension rod is nit available.the magnetic rod available in it is very short in size.READ MORE,2.0
It is only for kids work not for any other work it is not using like a big screw it is not working only for small screw it is workingREAD MORE,2.0
This item is so good  and this  is the best product for doing any work in our houses for the srew tying iam saying that this is the best productREAD MORE,5.0
magnets are not strong . good for smooth workes like mobiles bt when tightening the casing of laptop..it gets stuck..poor magnetsREAD MORE,2.0
"Products aren't good enough and not reliable, the screws wears even in a minor thread loads. Low quality material used. Not a good product to be used or purchased.READ MORE",1.0
Not much helpful in order to use with laptop screwdriver or as round tip point.Not properly precise cut at all. But its works good for flat tip type screw.READ MORE,3.0
product  is good .but inside magnet is not well.. light work only you can do with it. my suggestion is better if you go for high quality one.READ MORE,3.0
but it is very small in size it is not like that which is shown in picture . but otherwise it is very good for small scrows and also quite good in quality. ....READ MORE,4.0
It's good tool set but for light duty work only like for electrical and electronic cabinets. Otherwise if you apply normal force it starts wearing immediately.So don't apply force while use.READ MORE,3.0
This is helpful for small home work.It carry 32pic of beatsBut some are not usefulStill this is nice product in this price I bought this only 69It is also available in bigger sizeREAD MORE,4.0
"A must buy, great product1. Brilliant screwdriver, the quality is good.2. Bits are longer than other similar screwdrivers, hence easy to use3. Steel quality is really good, bits worked well for all types of screws I used4. Has a mix of different types of screw driver bits, worked well for all my needs, as a semi professional as well as home usageREAD MORE",5.0
"The quality of the set is below par. The pieces does not fit in the socket well, like the magnet isn't strong enough to hold it together. And it's not really big. Not returning it because I got it at 70 bucks and there is no replacement option.READ MORE",2.0
Nice product. Size and packaging is nice. Bits could little more hard. For small scale purposes only like opening electronics gadgets etc. Not for heavy duty works and mechanical partsREAD MORE,5.0
Its looks good for 100Rs. I don't know how long the magnet in it gonna last.Its OK if you are gonna need it for household use.I wouldn't recommend it to do heavy work on daily basis. Its not comfortable enough and wouldn't last long. Made in China : what more can you expect .READ MORE,4.0
Good product at best price...  Steel is easily weared out after first use only. philips point screw drivers are not suitable for mobile or laptop 's nuts.READ MORE,3.0
"**DETAILED REVIEW**after using the item for the first 2days the following are the main pros nd cons..✓✓Pros:-it has all 32 pieces (including tweaser)-the magnet has good attractive force(the screws also gets attached to it)-the rubber grip on the handle is good.-the case given with it stores all the pieces in place,thus none of them cannot be lost.-the tweaser/plucker has a curved end thus enabling to get into small places .××Cons:-the product is not of Jackly,it's name is ""impact""...READ MORE",4.0
Product is good but all parts are not set properly but as usual.just for mobile tool work other work is not done..READ MORE,4.0
Good product.. Very helpful and that price is great product.. Happy to buy..READ MORE,4.0
wow very nice and very good product at this down to earth price. Must buy for household repairs. Handy and useful.READ MORE,5.0
"Excellent product, does the work quite robust (strong) but I don't think that this can tolerate heavy works. Awesome for electronics and household use which is not heavy duty..READ MORE",5.0
"a bit low quality product but at this price range, its goodgrip is fine but the attachments are of poor qualitysuitable for small works like mobile or laptop repairing but not for heavy works. Not so precise. Magnetic screw hold is not so strongfinally, A set not for    "" PROFESSIONALS ""READ MORE",3.0
"Most of the drivers are for electronic gadgets like mobile phones and laptops. Not very useful for electronics used at home like mixer grinders, door knobs etc.But, the quality is actually good. It's not flimsy. It's actually well built.READ MORE",4.0
Good product for the price...compact in size...varied variety of bits with proper shape and size. Screw driver handle is a bit smaller than I thought...but that OK.READ MORE,5.0
got it for 69 during sell. i must say it was a great deal at Flipkart.product is good and very usefulREAD MORE,5.0
Good product according to its price. It's a great deal and very useful kit in just a little costREAD MORE,5.0
"Product : Comes on very nice and attractive case with many bits, twister and base holder. - product is good not for heavy duty use.- very nice and good for mobile and laptop.- few bits head and not fine but over all good.- product is nice not seems cheap.- value for money.READ MORE",4.0
wow such a nice product 100% worth for money I liked it and I am happy with this product.READ MORE,5.0
"I got it on a flashdeal for 69/-, just can't complain. There may be better products in the market, but for the price, and it being magnetic, I've found it to be very useful to open my kid's toys etc. The magnetic power is not great, but it's not useless either. It's fairly alright.READ MORE",4.0
The product is good and have good magnetic grip to hold the screws while opening n lighting. For opening of laptop you need type of screw driver sets but sometimes screw will be open by available bit inside.READ MORE,4.0
The Product Jackly Combination Screw Driver Set is good for daily small to sophisticated work!...Giving 4 stars becuz the build quality is not so good and same hexagon and cross screws are provided!! Overall the product is good.. :)READ MORE,4.0
Superb screwdriver set it is useful and good quality I bought it in offer I am satisfied  thank you Flipkart.READ MORE,4.0
